"","STAT1.gsva","GGI.gsva","CytScore.log2","TIDE.Dysfunction","TIDE.Exclusion","TIDE.MDSC","TIDE.CAF","TIDE.TAM.M2","TIDE.IFNG","TIDE.CD274","TIDE.CD8","Danaher.B.cells","Danaher.CD45","Danaher.CD8.T.cells","Danaher.Cytotoxic.cells","Danaher.DC","Danaher.Exhausted.CD8","Danaher.Macrophages","Danaher.Mast.cells","Danaher.Neutrophils","Danaher.NK.CD56dim.cells","Danaher.NK.cells","Danaher.T.cells","Danaher.Th1.cells","Danaher.Treg","B2M","TAP1","TAP2","HLA.A","HLA.B","HLA.C","HLA.DPA1","HLA.DPB1","HLA.E","HLA.F","PD.1","CTLA.4","LAG3","TIGIT","TIM3","PD.L1","PD.L2","CD27","ICOS","IDO1","Act.CD4","Act.CD8","Tem.CD4","Tem.CD8","MDSC","Treg","T.cells","CD8.T.cells","Cytotoxic.lymphocytes","NK.cells","B.lineage","Monocytic.lineage","Myeloid.dendritic.cells","Neutrophils","Endothelial.cells","Fibroblasts","ECM.associated_HM.et.a.gsva","Immune.response_HM.et.a.gsva","Proliferation_HM.et.a.gsva"
"T045",0.482,0.127,4.884,1.32,-0.46,-0.03,-0.05,0.02,-0.03,-0.09,1.02,1.799,5.074,4.598,3.363,1.051,2.627,2.22,4.293,-1.833,-3.833,1.388,3.785,2.358,4.121,5.12999,3.21041,1.46432,5.01139,5.36736,5.09583,3.57028,3.78586,4.29537,2.78919,-1.17668,-1.08555,-1.2225,-1.00737,-1.37742,-0.67039,-0.92906,2.3758,0.76959,-1.34403,1.15964,1.73323,1.02174,1.4394,-1.90063,-1.00108,2.515367,3.6333,2.06192,-0.844325,2.898725,4.047757,2.51626,0.449967,3.274158,8.842113,0.272135944387856,0.12191208956774,-0.362317218020493
"T046",0.713,0.578,6.241,1.3,-0.73,-0.02,-0.02,-0.06,1.4,1.03,1.32,2.866,5.528,4.913,5.27,2.616,3.869,3.104,4.034,0.039,-0.547,3.146,4.155,3.488,4.16,5.3295,3.48512,1.97496,4.92673,5.1732,4.93841,3.64694,3.7881,4.38909,2.91494,-1.71906,-1.63436,-2.06621,-1.10919,-1.77172,-1.17091,-1.29305,2.40908,1.16196,-2.24938,1.50702,1.96882,1.12757,1.65484,-2.04159,-1.16812,2.9728,3.711,3.9298,1.0805,2.803375,5.037286,1.9652,1.203267,4.195242,9.0845,0.175998733072355,0.694415343771085,0.11412792020386
"T047",-0.578,-0.634,2.837,0.06,0.7,0,0.08,0.06,-2.11,-0.92,-1.89,-2.163,2.547,1.202,2.009,2.959,0.843,2.329,2.71,-3.15,-6.023,-0.319,0.653,0.631,0.737,4.79268,2.16996,1.23899,4.21819,4.59192,4.25389,3.03758,3.21129,4.10769,2.12436,0.09756,-0.1187,-0.44118,0.44228,-0.84945,-0.25945,-0.88299,0.52697,-0.33794,-0.33109,0.74542,1.12818,1.14431,1.20096,-1.31006,-0.79173,0.033467,0.063,1.3712,-0.8145,-0.805375,3.291714,0.9476,1.063867,4.824485,9.160125,0.621856177767446,-0.521085464633361,-0.602948194413352
"T048",0.71,-0.447,5.429,0.55,-2.27,-0.12,-0.19,-0.04,0.83,0.86,1.36,2.416,5.766,4.95,4.091,2.07,3.163,3.244,5.687,-0.5,-1.241,2.806,4.261,2.332,4.077,5.41307,3.26332,1.36302,4.87827,5.17308,4.60458,3.98671,3.93904,4.34286,2.79296,-1.48129,-1.34914,-1.56527,-1.40189,-1.92455,-1.20186,-1.54558,2.514,1.40434,-1.63397,1.38112,1.99998,1.1422,1.64444,-2.19667,-1.14752,2.947033,4.2075,3.591,0.732975,3.21755,5.318186,-0.31642,0.682993,3.071555,7.50215,-0.242503309077062,0.706819351638933,-0.381383770034717
"T049",0.684,0.017,4.91,0.62,-0.82,-0.07,-0.06,0.01,0.36,0.06,1.27,2.023,5.733,4.86,3.736,1.47,2.963,2.889,4.605,-0.529,-0.067,1.935,4.12,2.798,4.09,5.03945,3.06687,1.3211,4.86707,5.01845,4.84459,3.56425,3.67159,4.30543,2.50858,-1.1192,-1.20486,-1.33867,-1.1537,-1.59974,-0.73705,-1.01574,2.29714,1.14998,-1.47569,1.26892,1.86262,1.03939,1.48715,-1.87061,-1.10462,2.7278,3.784,3.1228,0.12475,3.114,4.601714,1.6478,0.699667,3.388394,8.809625,-0.0844357023680757,0.503168413552361,-0.345378425342315
"T050",0.442999999999999,-0.259,4.508,1.28,-0.83,-0.11,0.01,0,-1.12,-0.6,0.05,1.523,4.876,3.571,3.017,2.068,2.006,3.765,4.988,-0.741,-3.587,0.875,2.824,1.7,3.137,5.00381,2.65375,1.38445,4.65669,4.99939,4.73662,3.46248,3.79619,4.4196,2.45656,-1.01533,-0.75971,-0.66253,-0.7605,-2.04275,-0.45802,-0.81138,2.15684,0.53502,-0.41483,1.04067,1.64743,1.10859,1.43088,-2.10234,-1.31949,1.784467,2.831,2.3804,-0.35975,2.19775,5.081714,0.1568,1.263867,4.39003,9.6025,0.364133464871022,0.0928485581858982,-0.45971276645068
"T051",-0.736,-0.376,1.652,-0.69,1.52,0.06,0.12,0.08,-2.57,-1.34,-2.04,-2.281,2.9,0.955,0.902,1.103,0.324,1.433,4.57,-1.966,-5.572,-0.917,0.315,-1.411,1.39,4.33157,2.01198,0.59585,3.91517,4.07666,3.98077,3.00229,3.13408,3.55647,1.7735,0.3315,0.17801,-0.17859,0.3385,-1.16763,-0.03011,-0.50687,0.43943,-0.2842,0.24065,0.7168,1.01861,0.98209,1.05045,-1.53317,-0.8692,-0.527367,-0.4626,0.06896,-2.99995,-1.453725,3.721529,-0.98988,0.621253,3.400291,9.00745,0.358662523252989,-0.768608050661676,-0.533508296295625
"T052",-0.614,0.161,3.141,0.18,1.18,0.07,0.07,0.06,-2.51,-1.32,-0.21,0.159,3.375,3.288,2.072,2.393,1.368,2.001,4.445,-2.269,-4.572,0.231,1.781,0.889,1.147,4.59313,2.18623,1.42237,4.5719,4.50937,4.5696,2.90182,3.08286,4.07287,2.3118,-0.17409,-0.00547,-0.15733,-0.15905,-0.94164,-0.0741,-0.65353,1.42043,-0.23469,-0.14619,1.02237,1.42854,1.02986,1.30863,-1.68147,-1.02562,1.140553,3.0417,1.3573,-1.3083,1.46775,3.972086,-0.6995,0.889633,4.92067,9.46595,0.337705088082873,-0.62663727733953,0.0774599958386408
"T054",-0.662,-0.502,1.317,-0.11,1.45,0.03,0.16,0.06,-2.92,-1.44,-2,-2.047,1.904,0.997,0.167,1.793,-0.598,1.473,3.423,-2.003,-6.198,-1.263,-0.527,-1.194,1.955,4.94567,2.00181,1.0655,4.26479,4.60366,4.30617,3.18093,3.36926,4.13167,2.05079,0.31394,0.1267,0.28743,0.23406,-1.15184,-0.07298,-0.41754,0.52657,-0.27674,0.14114,0.7779,1.01948,1.05911,1.2027,-1.56468,-0.95747,-0.507973,-0.1691,0.19992,-1.966325,-1.044,4.054071,-0.6955,0.37784,4.527176,9.78775,0.316497217955894,-0.568765783431521,-0.380840187887217
"T056",-0.34,-0.774,4.374,1.34,0.82,-0.05,0.17,0.03,-1.96,-0.89,-0.44,1.085,4.551,3.017,3.232,4.655,2.342,2.513,5.531,0.286,-3.995,1.575,2.87,1.835,1.674,4.48999,2.26852,1.11485,4.33513,4.53582,4.30182,3.29012,3.56389,4.30315,2.32088,-0.82831,-0.7089,-0.52066,-0.30946,-1.21856,-0.24299,-0.82148,1.67846,0.23568,-0.41503,0.8024,1.55667,1.13085,1.50877,-2.00155,-1.143,1.979667,1.7424,2.14262,-0.098725,1.446837,4.346543,1.9984,1.63768,5.157697,10.246712,0.531953755821419,-0.571214295757717,-0.791216061951628
"T057",-0.750999999999999,0.545,1.176,-0.77,1.31,0.15,0.01,0.06,-3.91,-2.12,-1.61,-2.383,0.945,1.619,-0.169,0.748,-0.314,-0.182,2.009,-3.438,-5.337,-1.931,-0.921,-1.69,2.1,3.6133,1.2705,0.49551,3.62961,3.53346,3.6006,2.04344,2.53494,3.69201,1.09997,0.22623,0.07887,-0.08567,0.40722,-0.42246,0.30591,-0.25992,0.31453,-0.38608,0.37535,0.81802,0.94866,0.83238,1.03208,-1.35343,-0.75829,-0.950591,1.34883,-0.292834,-2.55689,-0.953351,2.67815,-2.316338,-0.175791,3.430225,8.956926,0.196489944527262,-0.668001209549014,0.480421027542105
"T058",0.516,-0.437999999999999,4.611,1.17,-0.8,-0.07,-0.04,0,-0.78,-0.2,0.7,2.54,4.908,4.261,3.391,2.23,2.49,2.089,2.556,-1.036,-3.685,1.403,3.604,1.803,3.464,5.0621,3.06705,1.50883,4.95307,5.23006,5.12145,3.549,3.7079,4.21461,2.76981,-0.96424,-0.75247,-0.80208,-0.73701,-1.53496,-0.5996,-0.60731,2.1416,0.60256,-0.80061,1.04928,1.7631,1.02794,1.45599,-1.83079,-0.94984,2.646947,3.1564,2.6017,-0.2766,3.878675,4.287957,1.67754,1.60442,4.046161,8.734887,0.393887306386539,0.253402665736396,-0.563957376987614
"T059",-0.63,-0.483,2.546,0.97,-0.1,-0.01,-0.03,0.05,-2.99,-1.61,-1.41,1.123,3.836,1.882,1.916,1.736,1.136,1.417,2.625,1.639,-6.13,-0.786,2.156,0.885,3.165,4.10757,2.12789,0.8631,4.01779,4.35437,4.10281,2.42211,2.86073,4.06947,1.94233,-0.34334,-0.20019,-0.39628,-0.24801,-0.32679,0.09534,-0.37802,1.58357,0.07021,-0.03388,0.76216,1.36512,0.94915,1.05151,-1.80821,-0.79936,1.644467,1.197,1.5342,-0.927,2.530625,2.799571,0.9972,3.5238,4.655212,8.56175,0.584611720726189,-0.660304694781158,-0.508777213213826
"T060",0.582,0.416,4.602,0.67,-0.73,-0.04,-0.02,-0.03,0.6,-0.14,-0.59,-1.934,3.68,2.859,3.495,3.671,2.056,3.505,2.637,0.462,-3.07,1.201,2.723,1.832,4.221,5.58717,3.24067,1.41875,5.23034,5.61673,5.37062,4.09624,4.44785,4.56494,2.98516,-1.492,-1.41531,-1.58252,-0.63728,-2.03272,-0.76181,-1.58035,1.97233,0.84626,-2.46026,1.23251,1.81952,0.97306,1.53024,-2.42127,-1.3766,1.7934,1.984,1.8586,-1.455,-1.392,5.309429,0.379,0.239333,2.143909,8.9735,0.244789870325526,0.568483436157628,0.0898944393485547
"T061",0.337,-0.703,3.493,-0.26,-1.03,-0.02,-0.07,-0.06,-0.06,1.33,-0.97,-0.993,3.626,2.371,2.282,0.991,1.631,1.824,1.505,-1.79,-4.38,0.67,2.056,0.814,3.236,5.17402,3.41396,1.92438,4.90025,5.19043,4.95169,3.18944,3.23754,3.88919,2.96496,-0.18432,-0.45604,-1.05599,-0.30006,-0.99336,-1.30086,-0.63435,0.7872,0.4571,-1.08648,0.81287,1.37742,0.93435,1.2779,-1.85008,-0.75073,1.053547,0.6702,1.68916,-1.3889,-0.324225,3.507643,-0.77942,1.70728,3.129203,7.608937,0.368427728313185,0.421458453845258,-0.652833750528037
"T062",-0.573,-0.278999999999999,3.124,0.6,-0.13,-0.01,-0.05,0.07,-2.58,-1.46,-1.72,0.386,3.429,1.444,1.822,1.698,0.846,0.995,4.306,-2.65,-3.598,-0.343,1.797,0.348,0.555,4.83436,2.1471,0.86603,4.3825,4.52445,4.33271,3.35827,3.64303,4.07954,2.05916,0.00418,-0.2309,-0.21257,0.01913,-0.73579,-0.08969,-0.45784,1.6657,0.03522,-0.08658,0.97737,1.40774,1.15031,1.19078,-1.72905,-0.94121,1.310413,0.7,1.23168,-0.993475,1.697388,3.524471,1.22914,0.744327,4.530591,8.671175,0.496559361535196,-0.575378660006444,-0.0764762899296189
"T064",-0.29,0.652,3.498,-0.27,-0.71,0.03,-0.16,0.03,-0.41,-0.61,-0.81,0.163,3.524,2.587,2.346,1.376,1.336,1.845,2.011,-1.622,-2.825,0.535,2.111,1.221,4.449,4.63204,3.35267,1.44281,4.87831,4.70739,4.72445,3.28441,3.49543,4.16956,2.36398,-0.63106,-0.83789,-0.69984,-0.66844,-1.25883,-0.42739,-0.48327,1.5499,0.58833,-1.47519,1.21533,1.44401,0.85076,1.16728,-1.85545,-0.93237,1.332727,1.404,1.1681,-1.22085,0.955025,4.543443,0.28978,0.590653,3.045558,7.568112,-0.170916906317552,-0.268608407442247,0.62886782492986
"T065",-0.632,-0.597,2.982,-0.06,0.46,0.01,0.04,0.05,-2.42,-1.78,-1.03,-0.536,2.848,2.35,2.094,1.828,1.036,1.579,2.974,-2.113,-4.554,-0.174,1.103,0.559,0.597,4.55038,1.90861,0.82807,4.02229,4.40373,4.28691,3.26214,3.49123,4.25301,1.94156,-0.02148,-0.14359,-0.12365,0.07829,-0.91193,0.13862,-0.41399,1.12734,-0.16206,-0.39797,0.94219,1.37703,0.97272,1.28902,-1.64649,-0.89506,0.503427,1.668,1.49756,-1.302225,-0.068475,3.679257,-0.59982,0.638773,4.770342,9.109687,0.399943632809169,-0.659741998697686,-0.491865678417152
"T066",-0.392,0.146,2.56,0.61,1.09,0.06,0.15,-0.02,-1.85,-1.12,-1.7,-3.824,2.573,1.489,1.367,0.607,0.355,2.214,3.764,-1.092,-5.715,-1.033,0.601,-0.27,1.608,4.91559,2.63179,0.85161,4.51563,4.77346,4.46906,2.84401,3.03422,4.03833,2.37969,-0.28078,-0.4853,-0.36357,0.19777,-1.36952,-0.16722,-0.7539,0.54878,-0.26301,-0.14047,0.83517,1.16428,0.88406,1.18867,-2.02934,-1.08731,-0.303716,0.24687,0.145968,-2.575295,-2.655554,4.32024,-1.940826,1.074847,3.120901,9.724134,0.464149169588485,-0.171362600145406,-0.259236466019581
"T067",0.077,-0.724,3.72,0.26,0.27,-0.01,0.05,0.02,-0.93,-0.31,-0.24,1.674,4.231,3.246,2.442,0.343,1.297,1.232,2.16,-2.689,-6.903,0.174,2.761,1.131,3.498,4.94545,2.87465,1.45566,4.51969,4.98356,4.82908,2.97073,3.20282,3.81072,2.36439,-0.57706,-0.51493,-0.34226,-0.66993,-1.09692,-0.55113,-0.46876,1.85775,0.40734,-0.6042,0.90269,1.52697,0.9329,1.2726,-1.85857,-0.91083,1.67754,2.0754,1.1908,-1.5495,2.8545,3.4217,0.71592,1.339827,3.165703,8.857038,0.165189340618835,-0.181319871225461,-0.687079161381786
"T068",-0.332,-0.524,3.695,0.2,-0.8,-0.03,-0.12,0.05,-1.49,-0.91,-0.82,0.978,3.886,2.597,2.317,1.617,1.178,-0.076,4.52,-1.849,-4.691,0.474,2.278,0.748,1.898,4.89175,2.4781,0.90734,4.3236,4.63321,4.40603,2.83406,3.11854,4.02061,2.33209,-0.51939,-0.33072,-0.40614,-0.39942,-0.74561,-0.35204,-0.80576,1.72827,0.22826,-0.47781,0.94669,1.52819,0.94188,1.19783,-1.64393,-0.68248,1.108667,1.8708,1.7495,-0.793725,2.385225,3.473986,0.57464,0.515807,3.567485,7.866062,0.482562445561152,-0.236254098935972,-0.424703176071541
"T070",0.132,0.638,3.792,-1.09,-0.67,0.07,-0.16,0,-0.42,-0.53,-0.61,-0.101,3.831,2.839,2.223,1.359,1.634,1.905,-2.793,-2.51,-5.745,0.346,2.147,0.872,2.557,4.71909,2.83593,1.48858,4.09976,4.56896,4.29172,3.2105,3.40489,3.85388,2.28926,-0.69253,-0.63196,-1.11725,-0.52361,-1.4302,-0.51685,-0.85136,1.51757,0.63747,-1.31164,1.31554,1.56778,0.93628,1.34807,-1.7716,-0.90722,0.999543,2.04767,1.435102,-1.52127,1.005735,4.417547,-0.043938,-0.005563,3.253377,7.414002,-0.502559016102704,0.31445482639011,0.646612400108438
"T071",0.407,0.605,3.576,-0.92,0.27,0.08,0.02,-0.06,-0.41,-0.67,-0.69,-1.287,4.046,2.747,2.438,1.422,1.392,2.807,0.028,0.324,-5.842,-0.143,1.588,0.423,2.293,4.88308,3.0857,1.56333,4.95953,5.02803,4.89291,2.89172,3.06017,3.90471,2.92262,-0.33307,-0.47753,-0.99092,0.00084,-1.62639,-0.37933,-0.91546,0.77297,0.03766,-1.72038,1.36617,1.41978,1.11004,1.32487,-1.96031,-1.26646,0.535973,1.684,1.45196,-2.240025,-0.31545,4.9133,-1.7234,0.387867,3.312688,8.546413,-0.497038135203461,0.591452905161834,0.612045457396519
"T072",0.135,-0.546,4.85,1.78,0.06,-0.05,0.05,0.03,-0.65,-0.43,0.83,2.743,5.55,4.399,3.606,2.265,2.588,1.809,4.798,-0.588,-2.026,1.741,4.317,2.632,3.768,4.73334,2.74079,1.35422,4.61473,4.80281,4.39803,3.35729,3.58673,4.35165,2.59139,-1.4449,-0.90212,-0.86041,-1.04141,-0.90544,-0.50142,-0.85283,2.41413,0.76657,-1.25104,1.14622,1.7995,1.15041,1.50428,-1.95837,-0.98856,3.19984,3.4784,2.97396,-0.1347,4.279,4.012957,1.32638,1.1745,4.287961,9.748738,0.553328097010035,-0.461746138252778,-0.617209657556157
"T073",0.08,0.0969999999999999,4.198,1.3,-1.63,-0.04,-0.22,0.03,-0.99,-0.81,0.57,3.412,5.362,4.129,2.986,1.958,2.426,1.691,2.91,-0.205,-3.087,1.406,4.077,1.876,3.772,4.92508,2.49898,1.10161,4.5009,4.85678,4.24421,3.15241,3.44858,4.09673,2.46237,-1.58235,-1.1964,-0.8397,-1.02303,-1.10762,-0.36089,-0.4007,2.56343,0.85972,-1.03204,1.2701,1.88668,0.91956,1.38129,-2.12665,-0.94993,3.136227,3.534,2.40894,0.194525,5.320862,4.467543,1.51242,1.942353,3.075324,7.6102,0.460607420592453,-0.154145436664132,-0.259620792421255
"T074",0.592,0.283,4.265,1.16,-1.44,-0.06,-0.16,0,-0.33,-0.12,0.25,3.85,5.716,3.782,3.443,2.181,2.202,1.818,5.852,-1.241,-2.788,1.74,4.209,2.675,4.516,5.14761,2.97012,1.19534,4.93414,5.09325,4.53007,3.46175,3.74846,4.29706,2.66288,-1.64492,-1.46825,-0.92901,-1.47817,-1.30447,-0.70687,-1.05329,2.75308,1.18916,-1.35629,1.2731,1.92955,1.06549,1.56011,-1.99689,-1.07701,3.33602,3.0143,2.42454,-0.15045,5.170125,4.373629,2.38594,1.0249,3.414909,7.63975,0.0925575150409491,0.324338414193148,-0.000301560877674828
"T076",0.309,-0.77,4.664,1.68,0.44,-0.1,0.19,0.01,-0.91,-0.35,-0.12,3.294,5.737,3.39,3.468,2.856,2.408,1.799,3.987,-0.686,-2.858,1.946,4.078,2.201,3.928,5.06945,2.65838,1.40903,4.73438,4.9529,4.49748,3.57596,3.97947,4.43972,2.72604,-0.97523,-1.35377,-0.44731,-1.06001,-1.16128,-0.56986,-1.01607,2.68885,0.88233,-1.11996,1.1106,1.77248,1.20306,1.60071,-2.23451,-1.23382,3.2014,2.612,2.538,0.56875,4.359625,4.325143,3.0796,1.351267,4.853242,9.982375,0.465934157094628,-0.270054398961742,-0.739304968679363
"T078",-0.618,0.241,1.596,-1.64,0.09,0.03,-0.02,0.03,-2.04,-1.74,-1.99,-2.985,3.431,1.096,0.424,1.392,0.791,2.271,3.161,-0.966,-5.987,-1.711,0.325,-1.407,0.894,4.94288,2.08369,0.84763,3.7132,4.17131,4.23844,3.07533,3.30915,3.6752,1.42907,0.29207,0.20042,-0.41337,0.24142,-1.53468,0.14264,-0.68107,0.27699,-0.2615,0.08733,0.93321,1.06339,1.0046,1.1483,-1.97803,-0.95781,-0.138647,0.5381,0.1677,-2.760825,-1.598288,4.688657,-2.47568,0.916727,3.563709,8.014925,0.242582995959333,-0.459914134876128,0.133090399764566
"T079",-0.111999999999999,0.497,2.706,-1.34,1.02,0.11,0.1,-0.04,-0.07,0.21,-0.35,0.065,4.207,3.119,1.753,1.637,1.054,2.169,1.255,-1.094,-3.399,0.309,1.822,0.876,2.743,4.99055,3.01004,1.93716,4.81536,5.10445,4.83203,2.82849,2.92412,4.05223,2.97735,-0.21506,-0.60139,-0.75854,-0.36379,-1.24038,-0.76048,-1.1484,1.54701,0.388,-1.5605,1.26899,1.19706,1.02393,1.26003,-1.76117,-1.18566,1.1438,2.957,1.4298,-1.5405,1.1075,4.180571,0.7182,-0.309867,3.119242,9.076875,-0.45006030253047,0.340061766938315,0.573920657850449
"T080",0.172,-0.196,2.983,-0.28,-1.26,-0.12,-0.06,0.01,-0.82,-0.73,-0.89,0.447,4.754,2.51,2.027,0.869,1.317,2.594,5.196,-1.011,-6.148,0.229,2.572,0.392,2.623,5.70274,2.39131,1.01022,4.61042,4.97253,4.69472,4.04897,4.08255,4.31563,2.1301,-0.09896,-0.80644,-0.17797,-0.6558,-2.02424,-0.50388,-1.17163,1.56511,0.72284,-0.75925,1.33319,1.55237,1.14785,1.43959,-1.98314,-1.0917,1.464307,1.8499,1.7465,-0.963775,1.354838,5.075514,0.24112,0.474893,3.51187,8.005463,0.159886872154324,0.348144769813764,0.174854534455855
"T083",-0.446,0.546,1.206,-1.17,0.75,0.13,-0.04,0.04,-1.89,-0.9,-2.76,-2.599,2.208,-0.322,-0.41,1.283,0.65,1.975,2.625,-1.518,-5.068,-2.121,-0.073,-1.112,2.483,4.51115,2.06708,0.78469,4.08758,4.35324,4.05441,2.79526,2.97985,3.37876,1.69239,0.27378,-0.20476,-0.92197,0.02118,-1.31974,-0.29871,-0.57554,0.51711,0.08718,-0.33767,1.09636,1.1918,0.91321,1.05794,-1.47669,-0.94559,-0.59798,-1.3981,-0.95672,-2.738225,-0.79525,4.016557,-0.95218,-0.044113,2.103109,8.511988,-0.0844760927669751,-0.250085087318474,0.463397942875108
"T086",-0.406,-0.45,2.636,0.18,-0.79,-0.12,0,0.02,-1.81,-0.88,-1.96,0.088,4.142,1.052,1.664,1.723,0.825,2.881,2.394,-0.729,-4.24,-1.136,1.533,0.156,2.998,4.8131,2.11409,1.06561,3.94613,4.34846,4.24967,3.17168,3.48526,3.95834,1.84934,-0.02592,-0.4825,-0.10607,-0.19179,-1.73185,-0.3587,-0.67287,1.08498,0.23497,0.01178,0.93304,1.2827,1.0385,1.27958,-2.08916,-1.20612,0.930327,-0.196,1.20356,-2.3021,1.4522,5.458186,-0.05554,1.53672,3.628288,8.766875,0.185287609365601,-0.257544174725723,-0.332993845818731
"T087",0.52,-0.662999999999999,5.047,-0.32,-0.12,-0.06,0.02,0.04,-0.56,-0.53,0.91,0.547,4.734,4.489,3.496,2.127,2.44,2.287,5.397,-0.96,-6,1.757,3.564,1.728,3.344,5.22884,2.73283,1.42613,4.64527,5.04728,5.08167,3.46147,3.60934,4.0144,2.49623,-0.41139,-0.72856,-0.70468,-0.85942,-1.37644,-0.44307,-0.75168,1.97116,0.69195,-0.96773,1.03404,1.74246,1.07224,1.38978,-1.83942,-0.97726,2.013753,3.4072,2.74532,-0.294775,1.021913,4.210286,2.01736,0.74202,3.649545,9.024275,0.130589453999553,-0.387226637690996,-0.627172062669977
"T089",0.366,0.268999999999999,4.231,-0.72,0.26,0.07,-0.05,0.02,-0.45,-0.85,0.27,1.584,4.403,3.813,3.046,1.418,2.105,2.238,1.502,-2.288,-2.747,1.194,3.163,1.677,2.903,5.17088,2.7185,1.87387,4.62222,4.80015,4.23466,3.24749,3.52154,4.24267,2.31214,-0.72124,-1.0068,-0.92012,-0.94131,-1.1024,-0.31638,-0.78922,1.69523,0.83985,-1.1738,1.28952,1.77504,1.06954,1.42515,-1.7624,-0.85345,2.272073,3.1878,2.4658,-0.358375,2.751062,4.3411,0.55066,0.70944,3.886382,8.42755,-0.150330249933355,0.153414648792996,0.417798697748673
"T090",0.466,-0.654,5.062,0.56,0.47,-0.06,0.13,0.02,0.62,0.31,0.95,0.643,4.787,4.526,3.89,5.132,2.529,2.136,3.848,0.161,-2.417,1.699,3.854,1.964,2.782,5.65567,2.88451,1.57724,4.68848,5.18031,4.56295,3.60523,3.87829,4.67258,2.73959,-0.54482,-1.10275,-0.7761,-0.86189,-1.23355,-0.93321,-1.50659,1.99523,0.72356,-2.21066,1.10874,1.82919,1.21415,1.5959,-1.95546,-1.25422,2.650733,3.794,3.1112,-0.06325,1.917,4.360429,2.9228,2.0252,5.150424,9.639625,0.358816631684973,0.194426955724043,-0.551282398871482
"T092",0.46,0.415,4.652,-0.53,-0.62,-0.03,-0.05,-0.01,0.57,0.19,0.52,1.158,5.342,4.07,3.554,2.068,2.711,2.821,3.681,-0.457,-1.238,1.834,3.581,1.863,3.399,5.25817,3.03079,1.33465,4.46492,4.83329,4.57461,3.67696,3.76584,4.02753,2.2792,-0.65284,-1.11978,-1.09565,-0.90172,-1.72535,-0.83089,-1.15315,1.79206,0.9549,-1.61988,1.40032,1.82759,1.04896,1.4996,-2.14626,-1.16376,2.308253,2.9838,2.56952,-0.154475,2.514562,5.244729,0.18052,0.46932,3.566564,8.712075,-0.253420472568285,0.372178575316695,0.394870433748831
"T093",-0.389,0.495,2.036,-0.79,0.84,0.09,0.01,0.05,-1.93,-1.56,-2.28,-2.085,1.81,0.654,0.488,0.872,0.426,1.92,2.897,-0.322,-5.908,-1.073,0.793,-1.206,2.365,4.83563,2.42151,0.95523,4.78168,4.79872,4.50103,2.98469,3.23938,3.89318,2.08786,0.22343,-0.29122,-0.62019,-0.1154,-1.4533,0.05866,-0.57745,0.77015,0.13965,-0.18059,0.88172,1.20941,0.91584,1.074,-1.55993,-0.85705,0.342353,0.0946,-0.2032,-2.49525,-1.0418,3.924557,-0.85754,0.414313,2.749652,8.921912,0.149694681830354,-0.371199504989288,0.232746214940597
"T094",0.578,0.456,5.922,-0.06,-1.62,-0.06,-0.18,-0.01,1.25,0.6,1.45,3.118,5.47,5.04,4.578,3.702,3.484,3.221,1.596,0.257,-0.899,2.243,4.318,2.915,4.133,5.23703,2.84355,1.40098,4.77324,5.03742,4.79203,4.01752,4.17506,4.33065,2.57325,-1.57243,-1.36774,-1.80092,-1.32156,-1.93471,-1.04193,-1.46547,2.7662,1.31007,-2.21545,1.54779,2.04569,1.08117,1.59843,-2.31286,-1.3149,3.074867,4.197,3.4868,0.252,3.62575,5.629143,2.3978,0.911067,2.722697,7.920125,-0.426205256922946,0.513990322693076,0.536739272686331
"T095",-0.159,-0.607,3.685,-0.09,0.48,-0.05,0.11,0.04,-1.66,-1.39,-1.12,2.246,4.545,2.21,2.032,1.418,1.301,1.782,4.141,-0.267,-5.478,0.609,2.909,0.243,2.598,5.0754,2.27934,1.15807,4.17631,4.49487,4.18677,3.11414,3.4262,3.99721,2.09089,-0.37682,-0.62197,-0.07305,-0.68934,-1.41114,-0.02141,-0.62122,1.73553,0.38066,-0.21315,1.00526,1.50086,1.09918,1.37776,-2.24653,-1.07608,2.023587,0.8862,1.81336,-0.6318,3.695137,4.671943,1.59416,1.01274,3.9852,9.552625,0.288989049076038,-0.477536611656352,-0.525809988848944
"T096",-0.702,-0.74,2.91,-0.97,0.45,-0.02,0.05,0.05,-2.72,-1.27,-1.85,-2.017,3.601,1.244,1.589,1.682,1.607,1.335,2.468,-2.204,-4.694,-0.776,0.782,0.711,0.827,4.29057,1.64216,0.95179,3.51952,3.69439,3.4956,2.64607,2.7217,3.77468,1.637,0.46772,-0.4347,-0.44042,0.3266,-0.78312,0.02306,-0.41497,0.11045,-0.26384,-0.19583,0.55364,1.02378,1.0489,1.10566,-1.21984,-0.69484,0.434667,-0.301,1.6756,-0.76175,-0.58625,2.841143,-1.0854,1.6568,5.303515,8.388125,0.436308496381759,-0.61329740204956,-0.629123720969127
